# Energy(MeV)  Counts
0.0010  1
0.0030  3
0.0050  1
0.0070  2
0.0090  5
0.0110  4
0.0130  3
0.0150  3
0.0170  3
0.0190  3
0.0210  3
0.0230  2
0.0250  2
0.0270  1
0.0290  3
0.0310  1
0.0330  1
0.0350  4
0.0370  4
0.0390  2
0.0410  0
0.0430  2
0.0450  4
0.0470  2
0.0490  2
0.0510  4
0.0530  0
0.0550  4
0.0570  4
0.0590  5
0.0610  3
0.0630  2
0.0650  2
0.0670  5
0.0690  1
0.0710  1
0.0730  2
0.0750  2
0.0770  2
0.0790  4
0.0810  3
0.0830  2
0.0850  2
0.0870  3
0.0890  2
0.0910  0
0.0930  1
0.0950  3
0.0970  3
0.0990  1
0.1010  3
0.1030  4
0.1050  3
0.1070  2
0.1090  3
0.1110  0
0.1130  2
0.1150  0
0.1170  6
0.1190  1
0.1210  1
0.1230  4
0.1250  1
0.1270  5
0.1290  2
0.1310  3
0.1330  1
0.1350  5
0.1370  1
0.1390  3
0.1410  4
0.1430  4
0.1450  2
0.1470  6
0.1490  3
0.1510  2
0.1530  0
0.1550  2
0.1570  0
0.1590  6
0.1610  4
0.1630  2
0.1650  1
0.1670  7
0.1690  3
0.1710  3
0.1730  0
0.1750  4
0.1770  6
0.1790  1
0.1810  2
0.1830  3
0.1850  0
0.1870  2
0.1890  2
0.1910  1
0.1930  3
0.1950  2
0.1970  1
0.1990  2
0.2010  3
0.2030  4
0.2050  2
0.2070  5
0.2090  3
0.2110  5
0.2130  3
0.2150  1
0.2170  1
0.2190  2
0.2210  2
0.2230  3
0.2250  0
0.2270  2
0.2290  4
0.2310  2
0.2330  1
0.2350  2
0.2370  2
0.2390  2
0.2410  2
0.2430  2
0.2450  1
0.2470  3
0.2490  2
0.2510  0
0.2530  5
0.2550  0
0.2570  1
0.2590  5
0.2610  1
0.2630  2
0.2650  2
0.2670  4
0.2690  2
0.2710  4
0.2730  2
0.2750  4
0.2770  3
0.2790  4
0.2810  0
0.2830  1
0.2850  2
0.2870  1
0.2890  3
0.2910  3
0.2930  2
0.2950  0
0.2970  6
0.2990  0
0.3010  5
0.3030  2
0.3050  2
0.3070  1
0.3090  3
0.3110  3
0.3130  1
0.3150  1
0.3170  5
0.3190  2
0.3210  2
0.3230  4
0.3250  2
0.3270  0
0.3290  1
0.3310  4
0.3330  4
0.3350  4
0.3370  3
0.3390  4
0.3410  1
0.3430  3
0.3450  2
0.3470  3
0.3490  6
0.3510  2
0.3530  4
0.3550  4
0.3570  1
0.3590  1
0.3610  3
0.3630  4
0.3650  1
0.3670  2
0.3690  2
0.3710  3
0.3730  2
0.3750  3
0.3770  0
0.3790  4
0.3810  2
0.3830  2
0.3850  3
0.3870  2
0.3890  3
0.3910  3
0.3930  1
0.3950  2
0.3970  0
0.3990  1
0.4010  4
0.4030  0
0.4050  2
0.4070  1
0.4090  5
0.4110  0
0.4130  2
0.4150  1
0.4170  2
0.4190  2
0.4210  1
0.4230  1
0.4250  1
0.4270  2
0.4290  1
0.4310  1
0.4330  0
0.4350  0
0.4370  2
0.4390  5
0.4410  3
0.4430  0
0.4450  1
0.4470  1
0.4490  4
0.4510  2
0.4530  4
0.4550  2
0.4570  4
0.4590  3
0.4610  4
0.4630  4
0.4650  2
0.4670  4
0.4690  3
0.4710  4
0.4730  2
0.4750  0
0.4770  4
0.4790  5
0.4810  2
0.4830  2
0.4850  0
0.4870  2
0.4890  4
0.4910  1
0.4930  2
0.4950  2
0.4970  6
0.4990  0
0.5010  3
0.5030  3
0.5050  0
0.5070  2
0.5090  0
0.5110  2
0.5130  2
0.5150  3
0.5170  2
0.5190  2
0.5210  3
0.5230  2
0.5250  5
0.5270  3
0.5290  3
0.5310  3
0.5330  1
0.5350  2
0.5370  2
0.5390  3
0.5410  2
0.5430  2
0.5450  1
0.5470  7
0.5490  3
0.5510  2
0.5530  4
0.5550  2
0.5570  2
0.5590  2
0.5610  3
0.5630  5
0.5650  3
0.5670  3
0.5690  5
0.5710  3
0.5730  4
0.5750  7
0.5770  1
0.5790  3
0.5810  4
0.5830  2
0.5850  4
0.5870  2
0.5890  1
0.5910  2
0.5930  7
0.5950  4
0.5970  1
0.5990  0
0.6010  2
0.6030  0
0.6050  2
0.6070  0
0.6090  3
0.6110  7
0.6130  5
0.6150  1
0.6170  3
0.6190  2
0.6210  2
0.6230  5
0.6250  5
0.6270  1
0.6290  1
0.6310  6
0.6330  2
0.6350  2
0.6370  2
0.6390  1
0.6410  2
0.6430  6
0.6450  1
0.6470  2
0.6490  5
0.6510  4
0.6530  6
0.6550  1
0.6570  1
0.6590  1
0.6610  3
0.6630  2
0.6650  3
0.6670  3
0.6690  2
0.6710  3
0.6730  4
0.6750  1
0.6770  4
0.6790  1
0.6810  1
0.6830  3
0.6850  0
0.6870  1
0.6890  2
0.6910  2
0.6930  1
0.6950  3
0.6970  3
0.6990  2
0.7010  2
0.7030  7
0.7050  3
0.7070  1
0.7090  1
0.7110  5
0.7130  3
0.7150  2
0.7170  1
0.7190  3
0.7210  2
0.7230  4
0.7250  3
0.7270  8
0.7290  1
0.7310  4
0.7330  1
0.7350  2
0.7370  3
0.7390  5
0.7410  5
0.7430  5
0.7450  6
0.7470  3
0.7490  3
0.7510  2
0.7530  3
0.7550  0
0.7570  1
0.7590  3
0.7610  4
0.7630  2
0.7650  5
0.7670  1
0.7690  2
0.7710  2
0.7730  3
0.7750  4
0.7770  5
0.7790  4
0.7810  7
0.7830  4
0.7850  5
0.7870  1
0.7890  2
0.7910  3
0.7930  2
0.7950  1
0.7970  5
0.7990  2
0.8010  4
0.8030  1
0.8050  0
0.8070  2
0.8090  3
